,,,,,
,2026 전국대학교로켓발사대회 전자팀 체계요구사항명세서(SSRS),,,,
,,,,,
,"에비오닉스, 전원(배터리), 배선, 아밍, 회수 및 통신 부문 요구사항 총괄",,,,
,,,,ACK가 없는 uplink command는 성공으로 처리되어서는 안된다.,3.2.43
,,,,GCS UI thread는 serial I/O 또는 parsing 작업을 수행해서는 안된다.,3.2.44
,,,,GCS는 telemetry processing과 UI rendering을 반드시 분리해야만 한다.,3.2.45
,,,,GCS는 UI 업데이트를 blocking 없이 수행해야만 한다.,3.2.46
,,사출,"Avionics는 타이머, 고도, IMU 등을 통해 사출이 가능해야 한다.",,3.3.1
,,,Avionics는 지상체의 명령을 통해 회수 장치 강제 사출이 가능해야 한다.,,3.3.2
,,,Avionics는 사용자가 설정한 고도 ±10m 오차 이내로 회수 장치 사출이 가능해야 한다.,,3.3.3
,,,Avionics는 지상체의 강제 사출 명령을 받아 1초 이내에 회수장치를 작동시켜야 한다.,,3.3.4
,,회수,Avionics 회수 시 SD카드 회수가 가능해야 한다.,,3.4.1
,,,Avionics는 지상체의 회수 장치 작동 명령을 받아 1초 이내에 회수 장치를 작동시켜야 한다.,,3.4.2
,,,Avionics는 고도가 0이 되었을 때를 비행종료로 판단할 수 있어야 한다.,,3.4.3
,,,Avionics는 발사체 착륙 위치 확인이 가능해야 한다.,,3.4.4
,비행 데이터 분석,비행 데이터 분석,Avionics는 비행 데이터 회수가 가능하도록 데이터 저장이 가능해야 한다.,,4.1.1
,,,Avionics는 분석 프로그램으로 불러올 수 있는 형식으로 비행 과정 중의 Raw Data를 저장할 수 있어야 한다.,,4.1.2
,이용 환경,외부 제약 사항,Avionics의 SW-License는 Apache 라이센스를 따른다.,,5.1.1
,,운용환경,"Avionics는 최고 섭씨 33도, 최저 –12.2도 환경에서 운용이 가능해야 한다.",,5.2.1
,,,Avionics는 0.94 atm에서도 내외부의 기능/성능 손상 없이 운용이 가능해야 한다.,,5.2.2
,,,Avionics는 습도 90% 환경에서 약 2시간 동안 발사체의 기능이 유지되어야 한다.,,5.2.3
,,,Avionics는 최대 풍속 8.8m/s 이내의 바람의 환경에서 운용이 가능해야 한다.,,5.2.4
,"* 본 문서는 「2026 전국대학교로켓발사대회 규정집 (최종 수정일 2026.04.02)」을 바탕으로 전자팀(에비오닉스, 배터리, 통신, 배선, 아밍 등)에 해당하는 모든 체계 요구사항을 누락 없이 추출하여 작성되었습니다. ",,,,
